OrderItemID,OrderID,ProductID,Quantity,UnitPrice
1,1,56,3,63824
2,2,100,4,10062
3,2,230,4,40519
4,2,60,5,7300
5,3,18,4,21519
6,3,89,2,57633
7,3,137,2,9745
8,4,33,4,61548
9,4,155,3,55269
10,5,16,2,10658
11,5,17,4,50023
12,6,1,3,36248
13,6,65,4,58282
14,6,179,1,45708
15,6,60,3,7300
16,7,289,4,39410
17,8,4,2,28857
18,8,37,1,625
19,8,231,1,57760
20,8,284,4,50340
21,9,300,2,48023
22,9,112,4,40201
23,9,246,1,350
24,10,11,2,45282
25,10,281,3,47184
26,10,207,3,36154
27,11,150,4,35814
28,11,105,1,46557
29,12,43,5,47776
30,12,244,1,59814
31,12,52,5,30361
32,12,246,4,350
33,13,226,3,9529
34,13,272,2,19094
35,13,178,4,16066
36,14,199,3,46312
37,14,264,4,63683
38,15,88,3,32218
39,15,131,2,42437
40,15,166,4,43040
41,15,94,2,27807
42,16,253,2,1992
43,16,215,1,11364
44,16,299,2,5367
45,16,149,4,57854
46,17,199,2,46312
47,17,300,5,48023
48,17,200,5,40389
49,17,219,2,56407
50,18,76,3,69815
51,19,223,5,20717
52,19,152,3,50405
53,19,110,1,50340
54,20,263,5,64378
55,20,40,3,49209
56,20,81,4,68722
57,21,77,1,10700
58,22,275,2,50008
59,23,267,3,54041
60,23,162,2,3734
61,23,187,5,61110
62,24,84,4,41641
63,24,27,5,32525
64,25,287,2,37900
65,26,221,3,27859
66,27,258,5,19158
67,27,178,3,16066
68,27,177,1,32030
69,27,164,4,60715
70,28,41,2,69714
71,28,171,1,20173
72,29,64,4,36709
73,29,153,3,8618
74,29,4,3,28857
75,30,24,4,52781
76,30,237,5,5473
77,31,257,1,63442
78,31,297,4,46379
79,31,260,4,36408
80,32,256,2,38454
81,32,119,3,45509
82,33,208,3,38490
83,34,228,4,29666
84,34,197,2,62231
85,34,6,5,55187
86,35,282,4,32207
87,35,266,2,31500
88,35,76,4,69815
89,36,54,1,9034
90,37,202,5,24467
91,38,196,2,40335
92,38,245,4,42572
93,39,276,2,4905
